Zugstrecke;Teilzugname;Ist-Abfahrt;Ist-Ankunft;Ist-Abfahrt gerundet;Ist-Ankunft gerundet;Ist-Abfahrt abgerundet;Ist-Ankunft aufgerundet;Haltezeiten;v;vReal;vMax;vMaxZugsicherung;vMaxStrecke;vMaxBrH;Zustand;DynStatus;Infrastrukturelement;Referenzelemente;Betriebsstelle;Betriebsstelle Langname;Relative Abfahrtzeit;Soll-Abfahrt;VMaxZug;Zuschlag;Regelzuschlag;SonderZuschlag;BauZuschlag;Laenge;Masse;Zugbeeinflussung;Steigend;Entfernt;Verschoben;Besonderheit;Bogen;Neigung;Tunnelquerschnitt;Fahrweg;a;Zugkraft;WFZ;WTFZ;WStrecke;Gesamtzuschlag;Verspätungszuschlag;Zuschlagabbau;Triebfahrzeuge;Wagenanzahl;Zugfamilienname;Streckennummer;Gleis;Wirkt;Einzelzugname;ATO;Ist-Ankunft ohne Tag;Ist-Abfahrt ohne Tag;Haltezeit;Mindesthaltezeit;No-Stopping Zone;ETCS-Kurve für Belegung;Zwischenweichenabschnitt;Ist-Abfahrt in Sekunden;Ist-Ankunft in Sekunden
0;GV langsam Ri 1_PZB;0/00:27:59;0/00:27:59;00:28;00:28;00:28;00:28;-;90,00;85,71;90,00;-;90,00;-;K;-;K A -2.880 Ende 1 Gleisende; Ref(1700)=<K A|-1,180/+0|HS|A|0>  Anfang(1700)=<K A|-1,180/+0|HS|A|0>  Ende(1900)=<K A|-0,980/+0|ZSS||0> ;K A;Knoten A;0/00:00:00;-;90,00;1,0000;1,050;-;-;500,0;1088,2;PZB;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;75600,0;59006,6;5541,8;  0,0;1,050;1,00;1,00;"80 2248-1.2;";32;GV langsam Ri 1_PZB;0;;True;GV langsam Ri 1_PZB;False;00:27:59;00:27:59;-;-;False;-;Gleisende Ende 1 - Weiche W02 S (0);1679;1679
680;GV langsam Ri 1_PZB;0/00:28:27;0/00:28:27;00:28;00:28;00:28;00:28;-;90,00;85,71;90,00;-;90,00;-;K;-;K A -2.200  ZB-Anfang, Steigend, PZB;;K A;Knoten A;0/00:00:27;-;90,00;1,0000;1,050;-;-;500,0;1088,2;PZB;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;75600,0;59006,6;5541,8;  0,0;1,050;1,00;1,00;"80 2248-1.2;";32;GV langsam Ri 1_PZB;0;;True;GV langsam Ri 1_PZB;False;00:28:27;00:28:27;-;-;False;-;Gleisende Ende 1 - Weiche W02 S (0);1707;1707
680;GV langsam Ri 1_PZB;0/00:28:27;0/00:28:27;00:28;00:28;00:28;00:28;-;90,00;85,71;90,00;-;90,00;-;K;-;K A -2.200  Geschwindigkeit Abweichend, Steigend, v=160km/h, Wirkung ab hier, Alle, Ursache=, Zusatzbem.=; Ref(1180)=<K A|-2,200/+0|VA||0> ;K A;Knoten A;0/00:00:27;-;90,00;1,0000;1,050;-;-;500,0;1088,2;PZB;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;75600,0;59006,6;5541,8;  0,0;1,050;1,00;1,00;"80 2248-1.2;";32;GV langsam Ri 1_PZB;0;;False;GV langsam Ri 1_PZB;False;00:28:27;00:28:27;-;-;False;-;Gleisende Ende 1 - Weiche W02 S (0);1707;1707
700;GV langsam Ri 1_PZB;0/00:28:28;0/00:28:28;00:28;00:28;00:28;00:28;-;90,00;85,71;90,00;-;90,00;-;K;-;K A -2.180 Va Vorsignal, Steigend, Fb=9s, Unbekannt; Ref(1700)=<K A|-1,180/+0|HS|A|0>  Anfang(700)=<K A|-2,180/+0|VS|Va|0> ;K A;Knoten A;0/00:00:28;-;90,00;1,0000;1,050;-;-;500,0;1088,2;PZB;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;75600,0;59006,6;5541,8;  0,0;1,050;1,00;1,00;"80 2248-1.2;";32;GV langsam Ri 1_PZB;0;;True;GV langsam Ri 1_PZB;False;00:28:28;00:28:28;-;-;False;-;Gleisende Ende 1 - Weiche W02 S (0);1708;1708
725;GV langsam Ri 1_PZB;0/00:28:29;0/00:28:29;00:28;00:28;00:28;00:28;-;90,00;85,71;90,00;-;90,00;-;K;-;Zugsicherungs-Stützstelle;;K A;Knoten A;0/00:00:29;-;90,00;1,0000;1,050;-;-;500,0;1088,2;PZB;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;75600,0;59006,6;5541,8;  0,0;1,050;1,00;1,00;"80 2248-1.2;";32;GV langsam Ri 1_PZB;;;False;GV langsam Ri 1_PZB;False;00:28:29;00:28:29;-;-;False;-;-;1709;1709
750;GV langsam Ri 1_PZB;0/00:28:30;0/00:28:30;00:29;00:29;00:29;00:29;-;90,00;85,71;90,00;-;90,00;-;K;-;Zugsicherungs-Stützstelle;;K A;Knoten A;0/00:00:30;-;90,00;1,0000;1,050;-;-;500,0;1088,2;PZB;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;75600,0;59006,6;5541,8;  0,0;1,050;1,00;1,00;"80 2248-1.2;";32;GV langsam Ri 1_PZB;;;False;GV langsam Ri 1_PZB;False;00:28:30;00:28:30;-;-;False;-;-;1710;1710
775;GV langsam Ri 1_PZB;0/00:28:31;0/00:28:31;00:29;00:29;00:29;00:29;-;90,00;85,71;90,00;-;90,00;-;K;-;Zugsicherungs-Stützstelle;;K A;Knoten A;0/00:00:31;-;90,00;1,0000;1,050;-;-;500,0;1088,2;PZB;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;75600,0;59006,6;5541,8;  0,0;1,050;1,00;1,00;"80 2248-1.2;";32;GV langsam Ri 1_PZB;;;False;GV langsam Ri 1_PZB;False;00:28:31;00:28:31;-;-;False;-;-;1711;1711
800;GV langsam Ri 1_PZB;0/00:28:32;0/00:28:32;00:29;00:29;00:29;00:29;-;90,00;85,71;90,00;-;90,00;-;K;-;Zugsicherungs-Stützstelle;;K A;Knoten A;0/00:00:32;-;90,00;1,0000;1,050;-;-;500,0;1088,2;PZB;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;75600,0;59006,6;5541,8;  0,0;1,050;1,00;1,00;"80 2248-1.2;";32;GV langsam Ri 1_PZB;;;False;GV langsam Ri 1_PZB;False;00:28:32;00:28:32;-;-;False;-;-;1712;1712
825;GV langsam Ri 1_PZB;0/00:28:33;0/00:28:33;00:29;00:29;00:29;00:29;-;90,00;85,71;90,00;-;90,00;-;K;-;Zugsicherungs-Stützstelle;;K A;Knoten A;0/00:00:33;-;90,00;1,0000;1,050;-;-;500,0;1088,2;PZB;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;75600,0;59006,6;5541,8;  0,0;1,050;1,00;1,00;"80 2248-1.2;";32;GV langsam Ri 1_PZB;;;False;GV langsam Ri 1_PZB;False;00:28:33;00:28:33;-;-;False;-;-;1713;1713
850;GV langsam Ri 1_PZB;0/00:28:34;0/00:28:34;00:29;00:29;00:29;00:29;-;90,00;85,71;90,00;-;90,00;-;K;-;Zugsicherungs-Stützstelle;;K A;Knoten A;0/00:00:34;-;90,00;1,0000;1,050;-;-;500,0;1088,2;PZB;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;75600,0;59006,6;5541,8;  0,0;1,050;1,00;1,00;"80 2248-1.2;";32;GV langsam Ri 1_PZB;;;False;GV langsam Ri 1_PZB;False;00:28:34;00:28:34;-;-;False;-;-;1714;1714
